"PaymentID";"CustomerId";"ProductId";"TransactionDate";"CreditCard";"CreditCardNumber"
"3423609";"991";"10016";"2013-01-30T04:16:24";"visaelectron";"4508 7346 2588 9517"
"3423610";"775";"10041";"2013-01-02T09:09:38";"instapayment";"6386 7466 0513 5812"
"3423611";"234";"10310";"2013-01-07T12:21:58";"visa";"4065 0734 3303 7224"
"3423612";"371";"10114";"2013-01-30T07:45:45";"amex";"3797 2886 9038 850"
"3423613";"621";"10248";"2013-01-04T12:52:21";"mastercard";"5582 0698 7744 9116"
"3423614";"730";"10279";"2013-01-24T08:08:53";"amex";"3750 5967 8390 579"
"3423615";"491";"10123";"2013-01-16T12:17:21";"visa";"4119 3823 5830 5839"
"3423616";"147";"10220";"2013-01-29T06:55:48";"visa";"4104 5004 0613 0704"
"3423617";"589";"10208";"2013-01-03T01:05:04";"visa";"4327 9730 5076 2398"
"3423618";"967";"10031";"2013-01-08T12:00:38";"maestro";"6762 0929 7745 1311"
"3423619";"140";"10328";"2013-01-27T05:19:23";"visaelectron";"4508 7757 6391 1415"
"3423620";"907";"10336";"2013-01-01T01:53:24";"instapayment";"6390 0420 4417 0287"
"3423621";"270";"10107";"2013-01-03T09:08:16";"visaelectron";"4508 3402 6778 1218"
"3423622";"190";"10001";"2013-01-27T10:27:22";"visaelectron";"4508 6447 4455 0751"
"3423623";"821";"10006";"2013-01-24T09:13:16";"instapayment";"6399 3624 0807 9994"
"3423624";"575";"10008";"2013-01-12T02:34:29";"amex";"3415 1828 8497 158"
"3423625";"229";"10119";"2013-01-08T09:28:51";"amex";"3730 3302 5031 840"
"3423626";"932";"10028";"2013-01-03T06:21:25";"mastercard";"5579 1178 8636 3045"
"3423627";"59";"10166";"2013-01-23T03:46:47";"visa";"4745 9376 0691 4005"
"3423628";"365";"10164";"2013-01-09T06:45:54";"mastercard";"5451 3540 4330 6988"
"3423629";"777";"10188";"2013-01-27T11:25:25";"instapayment";"6390 8716 5826 9492"
"3423630";"838";"10335";"2013-01-06T07:29:54";"visaelectron";"4913 9804 6944 5036"
"3423631";"504";"10147";"2013-01-12T02:09:51";"maestro";"5018 3638 7468 3312"
"3423632";"898";"10202";"2013-01-18T06:05:56";"maestro";"6761 5113 4098 7827"
"3423633";"811";"10003";"2013-01-25T10:06:58";"visaelectron";"4844 9776 6008 3107"
"3423634";"330";"10018";"2013-01-06T01:57:42";"visa";"4319 7573 1351 4849"
"3423635";"151";"10121";"2013-01-06T04:03:57";"maestro";"5020 3518 3542 8196"
"3423636";"550";"10160";"2013-01-18T12:58:50";"mastercard";"5535 7560 4372 2420"
"3423637";"75";"10242";"2013-01-12T08:50:13";"amex";"3433 0651 8105 843"
"3423638";"131";"10137";"2013-01-22T11:02:31";"instapayment";"6373 5309 8564 4766"
"3423639";"257";"10152";"2013-01-16T02:12:16";"instapayment";"6377 4878 3591 4046"
"3423640";"68";"10096";"2013-01-27T08:41:19";"mastercard";"5587 6954 3992 3332"
"3423641";"251";"10326";"2013-01-16T03:31:04";"visaelectron";"4844 9159 9708 0347"
"3423642";"338";"10262";"2013-01-05T06:22:54";"amex";"3783 1236 9207 900"
"3423643";"13";"10041";"2013-01-28T05:20:33";"mastercard";"5418 6865 2180 1572"
"3423644";"838";"10164";"2013-01-01T05:46:53";"visa";"4443 4216 4464 5967"
"3423645";"523";"10290";"2013-01-16T10:55:20";"visa";"4473 1306 5709 3618"
"3423646";"13";"10233";"2013-01-15T06:25:26";"amex";"3722 2512 8673 285"
"3423647";"213";"10055";"2013-01-20T11:10:59";"visaelectron";"4026 0309 5923 3197"
"3423648";"354";"10348";"2013-01-01T06:00:51";"instapayment";"6375 1520 0942 4782"
"3423649";"497";"10078";"2013-01-19T12:41:45";"amex";"3752 0110 0079 673"
"3423650";"485";"10017";"2013-01-12T10:12:34";"instapayment";"6399 1638 7030 8386"
"3423651";"466";"10296";"2013-01-10T03:13:33";"maestro";"6304 4893 9240 7933"
"3423652";"720";"10000";"2013-01-16T04:43:44";"instapayment";"6393 0164 4920 5713"
"3423653";"629";"10182";"2013-01-22T01:46:03";"maestro";"6763 6097 0151 3832"
"3423654";"837";"10114";"2013-01-04T03:57:14";"visaelectron";"4175 0003 9667 5127"
"3423655";"698";"10015";"2013-01-03T11:02:41";"instapayment";"6392 2665 3043 3655"
"3423656";"294";"10196";"2013-01-28T10:32:33";"amex";"3401 0661 3922 909"
"3423657";"560";"10265";"2013-01-08T08:05:08";"visaelectron";"4026 3094 3759 1123"
