PaymentID,CustomerId,ProductId,TransactionDate,CreditCard,CreditCardNumber
3423612,371,10114,06-07-0035T07:45:45,amex,3797 2886 9038 850
3423616,147,10220,06-07-0034T06:55:48,visa,4104 5004 0613 0704
3423617,589,10208,05-07-0008T01:05:04,visa,4327 9730 5076 2398
3423618,967,10031,05-07-0013T12:00:38,maestro,6762 0929 7745 1311
3423620,907,10336,06-07-0006T01:53:24,instapayment,6390 0420 4417 0287
3423626,932,10028,05-07-0008T06:21:25,mastercard,5579 1178 8636 3045
3423637,75,10242,05-07-0017T08:50:13,amex,3433 0651 8105 843
3423648,354,10348,06-07-0006T06:00:51,instapayment,6375 1520 0942 4782
3423653,629,10182,06-07-0027T01:46:03,maestro,6763 6097 0151 3832
3423654,837,10114,05-07-0009T03:57:14,visaelectron,4175 0003 9667 5127
3423655,698,10015,05-07-0008T11:02:41,instapayment,6392 2665 3043 3655
3423659,969,10079,06-07-0034T12:11:31,mastercard,5576 8599 4095 8376
3423661,991,10220,05-07-0013T11:32:19,instapayment,6395 5475 8359 0773
3423665,9,10126,06-07-0035T10:40:49,mastercard,5226 2076 7678 1154
3423667,131,10231,06-07-0015T10:27:31,instapayment,6379 1552 9783 8494
3423670,105,10110,05-07-0017T08:15:33,visaelectron,4844 5278 9957 2345
3423675,840,10242,05-07-0024T11:26:47,visa,4222 6534 8041 8946
3423679,265,10276,05-07-0028T08:49:25,amex,3767 5080 4206 395
3423680,115,10015,05-07-0024T05:03:09,maestro,5020 0609 3398 4659
3423691,965,10317,06-07-0014T08:42:59,visaelectron,4917 6622 1056 3236
3423692,105,10079,06-07-0023T10:59:45,visa,4584 6571 8523 8998
3423697,53,10300,05-07-0009T09:01:26,visaelectron,4844 6037 2099 9682
3423698,344,10093,06-07-0031T08:28:25,maestro,5018 8128 3448 1761
3423702,803,10071,06-07-0030T12:28:12,amex,3434 9345 8947 135
3423712,477,10340,05-07-0029T07:53:47,maestro,5893 0603 9691 1029
3423716,26,10077,06-07-0014T01:01:40,mastercard,5324 3044 2247 7814
3423718,398,10040,06-07-0027T10:43:03,mastercard,5211 2664 2618 8323
3423725,518,10207,05-07-0009T03:24:32,instapayment,6374 6042 4021 6022
3423726,433,10191,05-07-0029T12:58:04,maestro,5893 7718 8332 4886
3423729,581,10345,06-07-0010T08:22:20,visaelectron,4913 1696 5942 6986
3423730,64,10126,06-07-0026T08:48:37,mastercard,5488 1764 1874 9345
3423735,795,10030,06-07-0022T09:54:04,visa,4782 8966 0536 6985
3423740,165,10157,06-07-0022T09:09:14,amex,3488 5359 6977 762
3423742,330,10035,05-07-0032T10:06:57,instapayment,6395 4930 1944 0186
3423747,329,10090,06-07-0030T05:53:26,maestro,6761 6212 3098 8759
3423763,793,10022,06-07-0011T08:35:49,amex,3717 6496 4455 952
3423764,670,10216,05-07-0029T11:16:09,maestro,5893 5625 8445 1536
3423765,192,10094,06-07-0031T04:27:54,visaelectron,4175 0016 9159 7297
3423768,12,10059,06-07-0011T03:34:39,maestro,5018 5049 4119 1363
3423770,459,10167,05-07-0032T08:54:04,visaelectron,4844 1795 7830 7476
3423773,258,10257,05-07-0029T05:49:15,mastercard,5133 2764 7821 5481
3423774,256,10030,05-07-0013T12:24:57,instapayment,6370 1579 6070 8367
3423778,280,10174,06-07-0007T02:21:33,amex,3706 2277 2478 528
3423781,948,10320,05-07-0009T08:01:14,maestro,6759 4324 2888 6282
3423785,64,10231,06-07-0014T01:20:44,visaelectron,4508 2008 5371 3191
3423786,844,10243,05-07-0025T07:42:11,mastercard,5161 0222 1468 2419
3423790,462,10348,06-07-0007T08:57:03,visaelectron,4844 1915 8481 9428
3423799,446,10300,05-07-0008T12:02:41,instapayment,6392 0609 4824 2422
3423803,799,10289,06-07-0022T02:41:16,amex,3412 7595 1935 341
3423811,456,10167,06-07-0027T07:28:03,mastercard,5487 4244 1262 0372
3423812,444,10114,05-07-0008T02:39:09,mastercard,5524 7815 0058 8026
3423814,862,10178,06-07-0018T04:09:11,amex,3481 0323 5227 470
3423816,837,10030,06-07-0010T02:06:11,visaelectron,4844 8097 5261 5498
3423819,455,10267,05-07-0025T04:06:36,visa,4412 7911 2042 1746
3423820,889,10071,06-07-0030T12:28:11,visa,4817 1875 6286 2797
3423821,575,10089,05-07-0032T02:38:46,amex,3726 8281 1970 453
3423836,38,10035,05-07-0029T10:38:33,amex,3720 8857 4831 595
3423839,882,10216,05-07-0029T04:57:06,instapayment,6389 6268 0116 1548
3423842,486,10238,06-07-0031T09:09:10,amex,3789 3645 1477 250
3423843,653,10174,06-07-0006T01:16:41,visa,4083 8497 3002 3654
3423858,540,10317,06-07-0019T08:34:27,visa,4117 0337 5393 8607
3423859,113,10053,05-07-0017T01:02:21,maestro,6759 2516 5401 6285
3423860,711,10163,06-07-0035T10:27:48,mastercard,5175 9350 0007 6120
3423863,785,10191,05-07-0008T12:14:47,instapayment,6399 3621 1508 4162
3423873,470,10113,05-07-0008T10:16:00,amex,3427 3047 3009 933
3423880,381,10208,06-07-0007T10:11:01,amex,3768 4419 9817 187
3423882,27,10264,06-07-0011T10:36:34,mastercard,5161 0321 0672 1746
3423883,132,10329,05-07-0028T08:06:58,instapayment,6384 8847 3619 9068
3423884,823,10187,05-07-0021T07:20:43,maestro,5018 2321 4118 9926
3423886,600,10059,06-07-0026T01:50:59,amex,3478 0392 6894 352
3423887,647,10345,05-07-0032T10:38:39,amex,3712 5759 1247 280
3423890,298,10174,05-07-0013T11:39:34,maestro,5020 9898 7276 8980
3423899,473,10244,06-07-0031T06:01:22,instapayment,6387 1831 6958 9193
3423907,280,10323,06-07-0011T12:12:17,instapayment,6395 1797 0462 1780
3423909,705,10307,05-07-0017T10:04:06,visa,4949 4313 5912 6706
3423911,429,10280,06-07-0030T03:35:02,visa,4261 8463 6673 7221
3423916,459,10215,05-07-0017T10:39:57,visa,4592 5118 9875 2375
3423918,114,10297,05-07-0024T07:42:11,instapayment,6395 7654 6948 4685
3423919,838,10015,06-07-0010T05:35:12,visaelectron,4508 3102 6785 8548
3423923,296,10276,06-07-0035T11:20:03,maestro,5893 9889 6800 6093
3423938,533,10079,06-07-0027T01:49:46,instapayment,6378 5953 9141 8704
3423942,173,10340,06-07-0030T08:03:02,maestro,5893 8531 4267 5504
3423945,106,10231,05-07-0017T02:47:49,instapayment,6378 3875 6014 2152
3423950,133,10207,06-07-0026T03:09:49,mastercard,5580 9667 5230 7982
3423953,49,10014,05-07-0032T04:55:31,maestro,5020 7170 3000 3960
3423954,564,10242,05-07-0021T06:32:40,visaelectron,4844 5027 3431 5697
3423955,50,10336,06-07-0011T03:30:43,visa,4364 6157 8623 6494
3423956,208,10110,06-07-0011T02:39:00,mastercard,5545 8929 8205 3457
3423958,811,10336,06-07-0010T05:50:40,amex,3470 4314 8151 824
3423959,560,10074,06-07-0014T04:51:55,visaelectron,4026 6375 5368 2056
3423960,587,10286,06-07-0023T07:16:25,mastercard,5595 6117 9663 0956
3423966,344,10191,05-07-0021T02:59:06,maestro,6759 3512 8542 3528
3423972,304,10280,05-07-0032T02:55:14,maestro,5038 4419 9138 1667
3423974,561,10285,06-07-0035T09:36:29,instapayment,6378 4208 2694 8482
3423976,524,10131,06-07-0015T10:19:29,visa,4624 0239 6780 1242
3423977,924,10227,05-07-0032T03:50:16,visaelectron,4913 6778 0070 0380
3423984,998,10306,06-07-0014T12:44:13,amex,3498 2327 2965 679
3423985,838,10267,06-07-0030T05:46:04,mastercard,5443 7337 6763 1526
3423988,951,10033,06-07-0023T12:41:29,visaelectron,4026 3292 8341 8536
