"PaymentID";"CustomerId";"ProductId";"TransactionDate";"CreditCard";"CreditCardNumber"
"3423609";"595";"10041";"2013-01-24T12:44:29";"instapayment";"6383 6750 8395 0215"
"3423610";"263";"10286";"2013-01-28T04:46:10";"mastercard";"5295 3387 4865 6615"
"3423611";"475";"10236";"2013-01-19T09:39:56";"visaelectron";"4508 7366 0188 1590"
"3423612";"274";"10168";"2013-01-22T05:29:59";"maestro";"5018 8019 5363 9218"
"3423613";"865";"10055";"2013-01-05T02:15:41";"visaelectron";"4508 4820 5534 0433"
"3423614";"630";"10120";"2013-01-03T10:59:17";"visaelectron";"4026 3237 6208 1816"
"3423615";"867";"10225";"2013-01-06T12:57:03";"amex";"3464 4293 0052 524"
"3423616";"291";"10110";"2013-01-05T03:44:55";"instapayment";"6398 9187 1391 0651"
"3423617";"614";"10047";"2013-01-21T07:20:27";"mastercard";"5456 4256 0868 6488"
"3423618";"758";"10202";"2013-01-21T11:39:49";"visaelectron";"4175 0017 5477 3041"
"3423619";"221";"10077";"2013-01-15T03:12:10";"amex";"3733 7573 6659 843"
"3423620";"673";"10114";"2013-01-02T04:42:14";"visaelectron";"4913 0269 4610 5999"
"3423621";"879";"10287";"2013-01-02T02:16:03";"mastercard";"5598 8913 3088 5947"
"3423622";"588";"10090";"2013-01-03T09:00:24";"visa";"4076 9674 7714 1320"
"3423623";"13";"10296";"2013-01-29T05:21:27";"instapayment";"6371 0523 4459 9716"
"3423624";"356";"10121";"2013-01-03T09:27:23";"visaelectron";"4508 2675 7800 9536"
"3423625";"357";"10186";"2013-01-03T11:42:50";"instapayment";"6392 4294 4972 2762"
"3423626";"854";"10034";"2013-01-21T05:43:36";"instapayment";"6392 0769 9482 4285"
"3423627";"606";"10224";"2013-01-08T07:19:59";"visaelectron";"4844 6609 0799 0983"
"3423628";"369";"10260";"2013-01-11T05:25:11";"maestro";"5018 2724 2010 2570"
"3423629";"8";"10053";"2013-01-06T05:08:37";"instapayment";"6372 3073 2251 8396"
"3423630";"55";"10245";"2013-01-15T10:22:54";"visa";"4399 1367 4403 0266"
"3423631";"934";"10285";"2013-01-09T02:07:40";"mastercard";"5338 3005 3552 0965"
"3423632";"311";"10130";"2013-01-06T07:13:17";"instapayment";"6377 2580 7414 2338"
"3423633";"961";"10176";"2013-01-09T12:23:35";"mastercard";"5593 2043 5204 3871"
"3423634";"797";"10153";"2013-01-15T02:47:47";"maestro";"6304 1781 2274 3598"
"3423635";"452";"10199";"2013-01-09T08:13:43";"maestro";"5018 7734 6969 7743"
"3423636";"80";"10269";"2013-01-06T05:15:15";"amex";"3442 3605 3691 130"
"3423637";"982";"10061";"2013-01-13T08:13:30";"maestro";"5018 3125 6969 5859"
"3423638";"568";"10244";"2013-01-01T10:22:16";"mastercard";"5463 3430 3450 0911"
"3423639";"216";"10052";"2013-01-02T02:40:33";"instapayment";"6375 7533 3695 7368"
"3423640";"504";"10180";"2013-01-03T01:58:09";"amex";"3460 3313 1761 490"
"3423641";"954";"10019";"2013-01-06T04:06:18";"visaelectron";"4026 0012 1452 0777"
"3423642";"221";"10339";"2013-01-23T09:23:46";"amex";"3473 4412 4201 306"
"3423643";"219";"10341";"2013-01-16T12:32:36";"amex";"3494 5158 1857 997"
"3423644";"830";"10021";"2013-01-24T11:41:35";"visaelectron";"4175 0074 5937 6816"
"3423645";"137";"10021";"2013-01-27T04:47:34";"mastercard";"5139 1973 9583 2618"
"3423646";"748";"10242";"2013-01-04T01:18:13";"instapayment";"6370 9069 8221 9732"
"3423647";"320";"10324";"2013-01-18T06:45:54";"instapayment";"6390 7311 6446 0193"
"3423648";"228";"10128";"2013-01-20T05:31:07";"amex";"3449 4047 7298 576"
"3423649";"189";"10305";"2013-01-17T08:49:28";"maestro";"5038 4210 6695 9290"
"3423650";"130";"10322";"2013-01-14T12:51:24";"instapayment";"6386 0287 6272 4880"
"3423651";"410";"10092";"2013-01-01T05:23:58";"visa";"4600 1498 7462 3011"
"3423652";"737";"10045";"2013-01-22T08:37:01";"visa";"4856 1154 3167 2016"
"3423653";"184";"10228";"2013-01-04T04:05:00";"instapayment";"6396 6444 1164 5553"
"3423654";"299";"10033";"2013-01-01T09:56:45";"visa";"4279 2653 0563 4920"
"3423655";"655";"10261";"2013-01-19T07:16:10";"instapayment";"6376 9864 0445 1711"
"3423656";"342";"10194";"2013-01-12T04:52:59";"maestro";"6304 9567 4283 7266"
"3423657";"108";"10023";"2013-01-29T12:23:56";"instapayment";"6373 9116 7194 0843"
"3423658";"546";"10208";"2013-01-14T07:44:21";"visa";"4372 9345 8947 3638"
"3423659";"935";"10312";"2013-01-08T07:54:09";"maestro";"6762 7089 5635 9171"
"3423660";"82";"10295";"2013-01-18T10:07:49";"mastercard";"5337 3816 3830 4953"
"3423661";"590";"10025";"2013-01-01T01:11:48";"instapayment";"6384 9856 0126 8233"
"3423662";"900";"10275";"2013-01-14T10:23:47";"visaelectron";"4913 9771 5793 2432"
"3423663";"858";"10180";"2013-01-18T04:46:14";"mastercard";"5492 2394 0352 2616"
"3423664";"402";"10302";"2013-01-23T12:50:39";"amex";"3494 7268 5219 702"
"3423665";"837";"10102";"2013-01-01T01:29:18";"amex";"3774 2205 6939 508"
"3423666";"285";"10266";"2013-01-03T07:29:54";"amex";"3786 0677 9137 015"
"3423667";"929";"10327";"2013-01-27T02:57:31";"mastercard";"5324 4435 2676 3362"
"3423668";"137";"10265";"2013-01-02T02:19:04";"amex";"3449 0239 6961 940"
"3423669";"24";"10334";"2013-01-07T05:29:04";"mastercard";"5423 9365 9607 3224"
"3423670";"509";"10004";"2013-01-29T05:27:01";"visa";"4792 2261 7678 2733"
"3423671";"780";"10164";"2013-01-15T03:30:39";"amex";"3761 9716 3602 642"
"3423672";"823";"10130";"2013-01-05T10:02:34";"visaelectron";"4844 6367 1703 2406"
"3423673";"616";"10244";"2013-01-14T03:05:15";"visa";"4310 2427 2278 1254"
"3423674";"387";"10245";"2013-01-19T12:57:04";"amex";"3405 8047 1665 653"
"3423675";"529";"10061";"2013-01-11T09:43:27";"maestro";"6304 9075 4804 5018"
